song_number;label;title;film;year;artist;spotify_url;enabled
1;Song 001;Let It Go;Frozen;2013;Idina Menzel;https://open.spotify.com/track/0glJ7u9DUVB8y47FHSDXNI;TRUE
2;Song 002;Do You Want to Build a Snowman?;Frozen;2013;Kristen Bell, Agatha Lee Monn, Katie Lopez;https://open.spotify.com/track/6OMgkUElawaacpfN9rvlpr;TRUE
3;Song 003;For the First Time in Forever;Frozen;2013;Kristen Bell, Idina Menzel;https://open.spotify.com/track/3kmcY7TZIY2rsRid66cy2a;TRUE
4;Song 004;Love Is an Open Door;Frozen;2013;Kristen Bell, Santino Fontana;https://open.spotify.com/track/7ytvapRZjOvWmYa4GouK11;TRUE
5;Song 005;Into the Unknown;Frozen II;2019;Idina Menzel, AURORA;https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W;TRUE
6;Song 006;Show Yourself;Frozen II;2019;Idina Menzel, Evan Rachel Wood;https://open.spotify.com/track/50WeOnXhM1H7AZEeIDoWfZ;TRUE
7;Song 007;Some Things Never Change;Frozen II;2019;Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Cast of Frozen 2;https://open.spotify.com/track/4Xbotg4PCLJw9cDx2dtZLK;TRUE
8;Song 008;Lost in the Woods;Frozen II;2019;Jonathan Groff;https://open.spotify.com/track/7namdlOhbtsc8FvoSafOQt;TRUE
9;Song 009;Hakuna Matata;The Lion King;1994;Nathan Lane, Ernie Sabella, Jason Weaver, Joseph Williams;https://open.spotify.com/track/7AFEEaP4T9jORisZ0BL9HQ;TRUE
10;Song 010;Circle of Life;The Lion King;1994;Carmen Twillie, Lebo M.;https://open.spotify.com/track/1HJqf1qlNs02vzM3NKe8PQ;TRUE
11;Song 011;I Just Can't Wait to Be King;The Lion King;1994;Jason Weaver, Rowan Atkinson, Laura Williams;https://open.spotify.com/track/2RSsWDVXWSUVNRW2DEx0PK;TRUE
12;Song 012;Can You Feel the Love Tonight;The Lion King;1994;Joseph Williams, Sally Dworsky, Nathan Lane, Ernie Sabella, Kristle Edwards;https://open.spotify.com/track/4yKNMqJvLWAoZAvIISNeCu;TRUE
13;Song 013;Be Prepared;The Lion King;1994;Jeremy Irons, Whoopi Goldberg, Cheech Marin, Jim Cummings;https://open.spotify.com/track/7HMJUdGZaJ42D8ghtuZyI5;TRUE
14;Song 014;He Lives in You;The Lion King II: Simba's Pride;1998;Lebo M.;https://open.spotify.com/track/2ahrqdsWQEbDkZqE7nwbaT;TRUE
15;Song 015;A Whole New World;Aladdin;1992;Lea Salonga, Brad Kane;https://open.spotify.com/track/1zHQ1JyEOnjnWFFaNVNQ9y;TRUE
16;Song 016;Friend Like Me;Aladdin;1992;Robin Williams;https://open.spotify.com/track/6iPy2jaqzxXa8SpHQkiDCZ;TRUE
17;Song 017;Prince Ali;Aladdin;1992;Robin Williams;https://open.spotify.com/track/7EUzqaEPOyn8qc0jDioveR;TRUE
18;Song 018;Arabian Nights;Aladdin;1992;Bruce Adler;https://open.spotify.com/track/6gVp1rjtB3cFa8aTpuMjxw;TRUE
19;Song 019;One Jump Ahead;Aladdin;1992;Brad Kane;https://open.spotify.com/track/1bYr31moIqTVRfcWMbAt0H;TRUE
20;Song 020;Part of Your World;The Little Mermaid;1989;Jodi Benson;https://open.spotify.com/track/4kRBST99wHY6ZGXwdmUC5h;TRUE
21;Song 021;Under the Sea;The Little Mermaid;1989;Samuel E. Wright;https://open.spotify.com/track/0m2ZeItBjdQ2sfPa6MxtlU;TRUE
22;Song 022;Kiss the Girl;The Little Mermaid;1989;Samuel E. Wright;https://open.spotify.com/track/1zpjPQJW5lwPuwsMSIN52Q;TRUE
23;Song 023;Poor Unfortunate Souls;The Little Mermaid;1989;Pat Carroll;https://open.spotify.com/track/3gcwl72tizQiWT07Oui0RD;TRUE
24;Song 024;Fathoms Below;The Little Mermaid;1989;Ship's Chorus;https://open.spotify.com/track/3cjVVHKtm6fEreZGPnlqBc;TRUE
25;Song 025;How Far I'll Go;Moana;2016;Auli'i Cravalho;https://open.spotify.com/track/5WPh0pzmmVg2USYCiRWxBR;TRUE
26;Song 026;You're Welcome;Moana;2016;Dwayne Johnson;https://open.spotify.com/track/3w5PE9CQbhOq8JsDp4aspt;TRUE
27;Song 027;Shiny;Moana;2016;Jemaine Clement;https://open.spotify.com/track/5XprWL9Jr3dJQcQUcbniWf;TRUE
28;Song 028;Where You Are;Moana;2016;Christopher Jackson, Rachel House, Nicole Scherzinger, Auli'i Cravalho, Louise Bush;https://open.spotify.com/track/7uZzghGGS1XvvUroz5rDqh;TRUE
29;Song 029;We Know the Way;Moana;2016;Opetaia Foa'i, Lin-Manuel Miranda;https://open.spotify.com/track/1EOEVA3HK3lcPyfvRq9tYN;TRUE
30;Song 030;We Don't Talk About Bruno;Encanto;2021;Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto Cast;https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz;TRUE
31;Song 031;Surface Pressure;Encanto;2021;Jessica Darrow;https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU;TRUE
32;Song 032;The Family Madrigal;Encanto;2021;Stephanie Beatriz, Olga Merediz, Encanto Cast;https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp;TRUE
